description,hostname,field_name,field_value,snmp_index,data_source_path
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/14/0/30,1001,<path_rra>/p-d7-ptr_traffic_in_175455.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/14/0/31,1002,<path_rra>/p-d7-ptr_traffic_in_175456.rrd
 P-D7-PTR,61.5.13.10,ifName,Bundle-Ether107,1003,<path_rra>/p-d7-ptr_traffic_in_175461.rrd
 P-D7-PTR,61.5.13.10,ifName,Bundle-Ether42,1060,<path_rra>/p-d7-ptr_traffic_in_175532.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/8/0/30,1059,<path_rra>/p-d7-ptr_traffic_in_175531.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/8/0/29,1058,<path_rra>/p-d7-ptr_traffic_in_175530.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/8/0/28,1057,<path_rra>/p-d7-ptr_traffic_in_175529.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/8/0/27,1056,<path_rra>/p-d7-ptr_traffic_in_175528.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/8/0/26,1055,<path_rra>/p-d7-ptr_traffic_in_175527.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/8/0/25,1054,<path_rra>/p-d7-ptr_traffic_in_175526.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/8/0/24,1053,<path_rra>/p-d7-ptr_traffic_in_175525.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/8/0/23,1052,<path_rra>/p-d7-ptr_traffic_in_175524.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/8/0/22,1051,<path_rra>/p-d7-ptr_traffic_in_175523.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/8/0/21,1050,<path_rra>/p-d7-ptr_traffic_in_175522.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/11/0/21,302,<path_rra>/p2-d1-btc_traffic_in_138813.rrd
 P-D1-BDS,61.5.14.56,ifName,Bundle-Ether999.400,1599,<path_rra>/p-d1-bds_traffic_in_175552.rrd
 P-D7-PNK,61.5.14.55,ifName,HundredGigE0/14/0/0,659,<path_rra>/p-d7-pnk_traffic_in_177070.rrd
 P-D2-JT2,61.5.14.159,ifName,HundredGigE0/10/0/11,475,<path_rra>/p-d2-jt2_new_traffic_in_153464.rrd
 P-D2-JT2,61.5.14.159,ifName,HundredGigE0/10/0/12,476,<path_rra>/p-d2-jt2_new_traffic_in_153465.rrd
 P-D2-JT2,61.5.14.159,ifName,HundredGigE0/10/0/13,477,<path_rra>/p-d2-jt2_new_traffic_in_153466.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/3/0/31,488,<path_rra>/p-d1-bds_traffic_in_158218.rrd
 P-D2-JT2,61.5.14.159,ifName,HundredGigE0/2/0/22,359,<path_rra>/p-d2-jt2_new_traffic_in_153375.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/7,705,<path_rra>/p-d7-mdo_traffic_in_178840.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/8,706,<path_rra>/p-d7-mdo_traffic_in_178841.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/9,707,<path_rra>/p-d7-mdo_traffic_in_178842.rrd
 P-D2-JT2,61.5.14.159,ifName,TenGigE0/19/0/14,180,<path_rra>/p-d2-jt2_new_traffic_in_153518.rrd
 P-D2-JT2,61.5.14.159,ifName,TenGigE0/19/0/13,179,<path_rra>/p-d2-jt2_new_traffic_in_153517.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/23,720,<path_rra>/p-d7-mdo_traffic_in_178855.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/24,721,<path_rra>/p-d7-mdo_traffic_in_178856.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/18,774,<path_rra>/p-d5-rkt_traffic_in_169343.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/17,773,<path_rra>/p-d5-rkt_traffic_in_169342.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/16,772,<path_rra>/p-d5-rkt_traffic_in_169341.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/15,771,<path_rra>/p-d5-rkt_traffic_in_169340.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/14,770,<path_rra>/p-d5-rkt_traffic_in_169339.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/13,769,<path_rra>/p-d5-rkt_traffic_in_169338.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/12,768,<path_rra>/p-d5-rkt_traffic_in_169337.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/11,767,<path_rra>/p-d5-rkt_traffic_in_169336.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/10,766,<path_rra>/p-d5-rkt_traffic_in_169335.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/9,765,<path_rra>/p-d5-rkt_traffic_in_169334.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/8,764,<path_rra>/p-d5-rkt_traffic_in_169333.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/27,763,<path_rra>/p-d5-rkt_traffic_in_169332.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/13/0/23,1536,<path_rra>/p-d1-btc_traffic_in_169376.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/13/0/22,1535,<path_rra>/p-d1-btc_traffic_in_169375.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/13/0/21,1534,<path_rra>/p-d1-btc_traffic_in_169374.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/13/0/20,1533,<path_rra>/p-d1-btc_traffic_in_169373.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/13/0/19,1532,<path_rra>/p-d1-btc_traffic_in_169372.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/13/0/18,1531,<path_rra>/p-d1-btc_traffic_in_169371.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/13/0/17,1530,<path_rra>/p-d1-btc_traffic_in_169370.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/13/0/16,1529,<path_rra>/p-d1-btc_traffic_in_169369.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/13/0/14,1528,<path_rra>/p-d1-btc_traffic_in_169368.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/13/0/9,1527,<path_rra>/p-d1-btc_traffic_in_169367.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/13/0/29,1526,<path_rra>/p-d1-btc_traffic_in_169366.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/31,786,<path_rra>/p-d5-rkt_traffic_in_169355.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/30,785,<path_rra>/p-d5-rkt_traffic_in_169354.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/29,784,<path_rra>/p-d5-rkt_traffic_in_169353.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/28,783,<path_rra>/p-d5-rkt_traffic_in_169352.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/26,782,<path_rra>/p-d5-rkt_traffic_in_169351.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/25,781,<path_rra>/p-d5-rkt_traffic_in_169350.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/24,780,<path_rra>/p-d5-rkt_traffic_in_169349.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/23,779,<path_rra>/p-d5-rkt_traffic_in_169348.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/22,778,<path_rra>/p-d5-rkt_traffic_in_169347.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/21,777,<path_rra>/p-d5-rkt_traffic_in_169346.rrd
